file,sign_no,name_ja,variant,category,source,source_file,license,source_url
M111-A_ひし形.svg,111,右左折の方法,A_ひし形,規制標示,self-drawn,R111-A_右左折の方法_ひし形.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://github.com/nxzh/menkyo-quiz
M111-B_円形.svg,111,右左折の方法,B_円形,規制標示,self-drawn,R111-B_右左折の方法_円形.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://github.com/nxzh/menkyo-quiz
M112.svg,112,平行駐車,,規制標示,self-drawn,R112_平行駐車.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://github.com/nxzh/menkyo-quiz
M113.svg,113,直角駐車,,規制標示,self-drawn,R113_直角駐車.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://github.com/nxzh/menkyo-quiz
M114-2.svg,114-2,特例特定小型原動機付自転車・普通自転車歩道通行可,,規制標示,self-drawn,R114-2_特例特定小型原動機付自転車・普通自転車歩道通行可.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://github.com/nxzh/menkyo-quiz
M114-3.svg,114-3,特例特定小型原動機付自転車・普通自転車の歩道通行部分,,規制標示,self-drawn,R114-3_特例特定小型原動機付自転車・普通自転車の歩道通行部分.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://github.com/nxzh/menkyo-quiz
M114-4.svg,114-4,普通自転車の交差点進入禁止,,規制標示,self-drawn,R114-4_普通自転車の交差点進入禁止.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://github.com/nxzh/menkyo-quiz
M114.svg,114,斜め駐車,,規制標示,self-drawn,R114_斜め駐車.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://github.com/nxzh/menkyo-quiz
M115-A_最高速度.svg,115,終わり,A_最高速度,規制標示,self-drawn,R115-A_終わり_最高速度.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://github.com/nxzh/menkyo-quiz
M115-B_転回禁止.svg,115,終わり,B_転回禁止,規制標示,self-drawn,R115-B_終わり_転回禁止.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://github.com/nxzh/menkyo-quiz
M201-2-A.svg,201-2,斜め横断可,A,指示標示,self-drawn,S201-2-A_斜め横断可.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://github.com/nxzh/menkyo-quiz
M201-2-B.svg,201-2,斜め横断可,B,指示標示,self-drawn,S201-2-B_斜め横断可.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://github.com/nxzh/menkyo-quiz
M201-3.svg,201-3,自転車横断帯,,指示標示,self-drawn,S201-3_自転車横断帯.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://github.com/nxzh/menkyo-quiz
M201.svg,201,横断歩道,,指示標示,self-drawn,S201_横断歩道.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://github.com/nxzh/menkyo-quiz
M202.svg,202,右側通行,,指示標示,self-drawn,S202_右側通行.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://github.com/nxzh/menkyo-quiz
M203-2.svg,203-2,二段停止線,,指示標示,self-drawn,S203-2_二段停止線.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://github.com/nxzh/menkyo-quiz
M203.svg,203,停止線,,指示標示,self-drawn,S203_停止線.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://github.com/nxzh/menkyo-quiz
M204.svg,204,進行方向,,指示標示,self-drawn,S204_進行方向.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://github.com/nxzh/menkyo-quiz
M205-A_実線.svg,205,中央線,A_実線,指示標示,self-drawn,S205-A_中央線_実線.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://github.com/nxzh/menkyo-quiz
M205-B_破線.svg,205,中央線,B_破線,指示標示,self-drawn,S205-B_中央線_破線.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://github.com/nxzh/menkyo-quiz
M205-C_二重実線.svg,205,中央線,C_二重実線,指示標示,self-drawn,S205-C_中央線_二重実線.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://github.com/nxzh/menkyo-quiz
M206-A_実線.svg,206,車線境界線,A_実線,指示標示,self-drawn,S206-A_車線境界線_実線.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://github.com/nxzh/menkyo-quiz
M206-B_破線.svg,206,車線境界線,B_破線,指示標示,self-drawn,S206-B_車線境界線_破線.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://github.com/nxzh/menkyo-quiz
M207.svg,207,安全地帯,,指示標示,self-drawn,S207_安全地帯.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://github.com/nxzh/menkyo-quiz
M208-2.svg,208-2,導流帯,,指示標示,self-drawn,S208-2_導流帯.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://github.com/nxzh/menkyo-quiz
M208-A_片側.svg,208,安全地帯又は路上障害物に接近,A_片側,指示標示,self-drawn,S208-A_安全地帯又は路上障害物に接近_片側.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://github.com/nxzh/menkyo-quiz
M208-B_両側.svg,208,安全地帯又は路上障害物に接近,B_両側,指示標示,self-drawn,S208-B_安全地帯又は路上障害物に接近_両側.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://github.com/nxzh/menkyo-quiz
M209.svg,209,路面電車停留場,,指示標示,self-drawn,S209_路面電車停留場.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://github.com/nxzh/menkyo-quiz
M210.svg,210,横断歩道又は自転車横断帯あり,,指示標示,self-drawn,S210_横断歩道又は自転車横断帯あり.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://github.com/nxzh/menkyo-quiz
M211.svg,211,前方優先道路,,指示標示,self-drawn,S211_前方優先道路.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://github.com/nxzh/menkyo-quiz
O.svg,,総重量・高さ限度緩和指定道路_A,,その他,commons,Japanese_Road_sign_118-4_and_5-A.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://commons.wikimedia.org/wiki/File:Japanese_Road_sign_118-4_and_5-A.svg
O503-D-白地（参考）.svg,503-D,車両の種類,白地（参考）,その他,self-drawn,503-D_標章車専用_white-variant.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://github.com/nxzh/menkyo-quiz
O_2.svg,,総重量・高さ限度緩和指定道路_B,,その他,commons,Japanese_Road_sign_118-4_and_5-B.svg,PD-Japan-exempt (標識令 catalogue reproduction),https://commons.wikimedia.org/wiki/File:Japanese_Road_sign_118-4_and_5-B.svg
